energy(eV),EB,RD,TS
0,0.474,0,0
1,0.474,0.020379435,0.008960439
2,0.47,0.040758871,0.017920878
3,0.465974659,0.057937525,0.026881317
4,0.462077439,0.073506795,0.035841756
5,0.458180249,0.089077801,0.044802196
6,0.454283029,0.104669124,0.053762633
7,0.450385839,0.120260447,0.06272307
8,0.446465641,0.136731431,0.071683511
9,0.441638678,0.154614314,0.080643952
10,0.436811686,0.171353891,0.089306571
11,0.431984723,0.183802709,0.097903356
12,0.42715773,0.196251526,0.106500141
13,0.422330767,0.208700344,0.115096919
14,0.417503804,0.219838306,0.123693705
15,0.412880778,0.230688065,0.132290497
16,0.408689588,0.241537839,0.140887275
17,0.404498398,0.252387613,0.149484053
18,0.400307208,0.266458601,0.158114061
19,0.396116018,0.280857831,0.166744262
20,0.391924828,0.295257032,0.175374448
21,0.387733638,0.305934131,0.18400465
22,0.383542448,0.314944983,0.192634836
23,0.379920095,0.323955834,0.201265037
24,0.376385152,0.332966685,0.209895223
25,0.37285018,0.341977537,0.21841906
26,0.369315237,0.351373971,0.226843834
27,0.365780294,0.360942215,0.235268593
28,0.362245321,0.370510429,0.243693352
29,0.358710378,0.380078673,0.252118111
30,0.355175406,0.389646918,0.26054287
31,0.351640463,0.398373514,0.268967628
32,0.348937094,0.407093525,0.277392387
33,0.346274883,0.415813535,0.285778344
34,0.343612701,0.424533546,0.293744475
35,0.340950489,0.433092713,0.301710606
36,0.338288277,0.438942313,0.309676737
37,0.335626066,0.444791943,0.317642868
38,0.332963854,0.450641543,0.325608999
39,0.330301642,0.456491143,0.33357513
40,0.327639431,0.462340772,0.34154126
41,0.324977219,0.469204932,0.349507362
42,0.322315037,0.476084977,0.357435733
43,0.319807231,0.482965022,0.365334988
44,0.317523271,0.489845067,0.373234242
45,0.31523931,0.496725112,0.381133497
46,0.312955379,0.503388941,0.389032722
47,0.310671419,0.509558976,0.396931976
48,0.308387458,0.51572901,0.404831231
49,0.306103498,0.521899045,0.412730455
50,0.303819567,0.528069139,0.420499355
51,0.301535606,0.534239173,0.428199023
52,0.299251646,0.54001081,0.435898662
53,0.296967685,0.54436028,0.44359833
54,0.294683725,0.54870981,0.451297969
55,0.292399794,0.55305934,0.458997637
56,0.290146202,0.55740881,0.466697305
57,0.287924528,0.561758339,0.474396944
58,0.285702825,0.566044927,0.482019603
59,0.283481151,0.569921911,0.489140719
60,0.281259447,0.573798895,0.496261865
61,0.279037774,0.577675879,0.503382981
62,0.27681607,0.581552863,0.510504127
63,0.274594396,0.585429847,0.517625272
64,0.272372693,0.589306831,0.524746358
65,0.270150989,0.593183815,0.531867504
66,0.267929316,0.5970608,0.53898865
67,0.265707612,0.600937784,0.546109796
68,0.263485938,0.604474783,0.553295732
69,0.261292368,0.607492983,0.560580671
70,0.259421468,0.610511243,0.56786561
71,0.257550597,0.613529503,0.575150549
72,0.255679697,0.616547763,0.582435429
73,0.253808796,0.619566023,0.589720368
74,0.251937896,0.622584283,0.597005308
75,0.250066996,0.625602484,0.604290247
76,0.24819611,0.628620744,0.611575127
77,0.24632521,0.631639004,0.617933452
78,0.244454324,0.634657264,0.624160528
79,0.242583424,0.637675524,0.630387545
80,0.240712538,0.640693724,0.636614621
81,0.238841638,0.643704295,0.642841637
82,0.236970738,0.645668566,0.649068713
83,0.235289857,0.647632837,0.65529573
84,0.233701542,0.649597168,0.661522806
85,0.232113227,0.651561439,0.667749822
86,0.230524912,0.65352577,0.673976898
87,0.228936598,0.655490041,0.680203915
88,0.227348298,0.657454312,0.686489165
89,0.225759983,0.659418643,0.692779303
90,0.224171668,0.661382914,0.6990695
91,0.222583354,0.663347244,0.705359638
92,0.220995039,0.665311515,0.711649776
93,0.219406724,0.667275786,0.717939973
94,0.217818409,0.669240117,0.724230111
95,0.216230094,0.670918763,0.730520308
96,0.214698508,0.672421455,0.736810446
97,0.213324577,0.673924088,0.742959917
98,0.21195063,0.675426781,0.748487175
99,0.210576698,0.676929414,0.754014432
100,0.209202752,0.678432107,0.75954175
101,0.20782882,0.67993474,0.765069008
102,0.206454873,0.681437433,0.770596266
103,0.205080941,0.682940066,0.776123583
104,0.203706995,0.684442759,0.781650841
105,0.202333063,0.685945451,0.787178099
106,0.200959131,0.687448084,0.792705417
107,0.199585184,0.688950777,0.798232675
108,0.198211253,0.69045341,0.803759933
109,0.196837306,0.691956103,0.808935702
110,0.195621997,0.693047941,0.813897371
111,0.194433197,0.693970978,0.818859041
112,0.193244413,0.694894016,0.82382077
113,0.192055613,0.695816994,0.828782439
114,0.190866813,0.696740031,0.833744109
115,0.189678013,0.697663069,0.838705838
116,0.188489214,0.698586106,0.843667507
117,0.187300414,0.699509084,0.848629236
118,0.186111614,0.700432122,0.853590906
119,0.184922829,0.701355159,0.858552575
120,0.18373403,0.702278137,0.863514304
121,0.18254523,0.703201175,0.868475974
122,0.18135643,0.704124212,0.87300396
123,0.180228889,0.70504719,0.877450228
124,0.179176509,0.705797613,0.881896555
125,0.17812413,0.706491947,0.886342824
126,0.17707175,0.707186341,0.890789151
127,0.176019371,0.707880676,0.895235419
128,0.174966991,0.70857501,0.899681687
129,0.173914611,0.709269404,0.904128015
130,0.172862232,0.709963739,0.908574283
131,0.171809852,0.710658133,0.913020611
132,0.170757473,0.711352468,0.917466879
133,0.169705093,0.712046802,0.921913207
134,0.168652713,0.712741196,0.926359475
135,0.167600334,0.713435531,0.930805743
136,0.166555196,0.714129865,0.93477267
137,0.165678203,0.714824259,0.938651204
138,0.164801225,0.715517879,0.942529798
139,0.163924247,0.716040373,0.946408331
140,0.163047254,0.716562927,0.950286865
141,0.162170276,0.717085421,0.954165399
142,0.161293298,0.717607975,0.958043933
143,0.160416305,0.718130469,0.961922467
144,0.159539327,0.718653023,0.965801001
145,0.158662349,0.719175518,0.969679534
146,0.157785356,0.719698012,0.973558068
147,0.156908378,0.720220566,0.977436602
148,0.1560314,0.72074306,0.981315136
149,0.155154422,0.721265614,0.98519367
150,0.154332981,0.721788108,0.989072204
151,0.153543696,0.722310662,0.992586613
152,0.152754411,0.722833157,0.995887101
153,0.151965126,0.723240018,0.999187648
154,0.151175857,0.723632693,1.002488136
155,0.150386572,0.724025369,1.005788684
156,0.149597287,0.724418044,1.009089231
157,0.148808002,0.724810779,1.01238966
158,0.148018718,0.725203454,1.015690207
159,0.147229433,0.72559613,1.018990755
160,0.146440148,0.725988865,1.022291183
161,0.145650864,0.72638154,1.025591731
162,0.144861579,0.726774216,1.028892279
163,0.144096479,0.727166951,1.032192826
164,0.143414393,0.727559626,1.035493255
165,0.142732292,0.727952302,1.038793802
166,0.142050192,0.728257656,1.04209435
167,0.141368091,0.728440166,1.045394897
168,0.14068599,0.728622675,1.048326612
169,0.140003905,0.728805244,1.051002026
170,0.139321804,0.728987753,1.05367744
171,0.138639703,0.729170263,1.056352854
172,0.137957603,0.729352772,1.059028268
173,0.137275502,0.729535282,1.061703563
174,0.136593416,0.729717851,1.064378977
175,0.135911316,0.72990036,1.067054391
176,0.135229215,0.73008287,1.069729805
177,0.134610876,0.730265379,1.072405219
178,0.134006724,0.730447948,1.075080633
179,0.133402586,0.730630457,1.077756047
180,0.132798448,0.730812967,1.080431461
181,0.13219431,0.730995476,1.083106875
182,0.131590158,0.731177986,1.08578229
183,0.13098602,0.731360555,1.088457704
184,0.130381882,0.731543064,1.091133118
185,0.12977773,0.731725574,1.093808532
186,0.129173592,0.731908083,1.096483946
187,0.128569454,0.732090592,1.098709226
188,0.127965301,0.732273102,1.100763321
189,0.127361163,0.732455671,1.102817297
190,0.126796976,0.73263818,1.104871273
191,0.126290277,0.73282069,1.106925249
192,0.125783578,0.733003199,1.108979225
193,0.125276878,0.733185709,1.111033201
194,0.124770172,0.733368218,1.113087177
195,0.124263473,0.733510256,1.115141153
196,0.123756766,0.733626425,1.117195129
197,0.123250067,0.733742595,1.119249225
198,0.122743368,0.733858764,1.121303201
199,0.122236669,0.733974874,1.123357177
200,0.121729963,0.734091043,1.125411153