Type,Elastic
Drift_energy(eV),0
0,5.20E-16
0.001,5.26E-16
0.002,5.31E-16
0.003,5.36E-16
0.004,5.41E-16
0.005,5.46E-16
0.006,5.51E-16
0.007,5.56E-16
0.008,5.60E-16
0.009,5.64E-16
0.01,5.69E-16
0.011,5.73E-16
0.012,5.77E-16
0.013,5.81E-16
0.014,5.85E-16
0.015,5.89E-16
0.016,5.92E-16
0.017,5.96E-16
0.018,6.00E-16
0.019,6.04E-16
0.02,6.07E-16
0.021,6.11E-16
0.022,6.14E-16
0.023,6.18E-16
0.024,6.21E-16
0.025,6.24E-16
0.026,6.28E-16
0.027,6.31E-16
0.028,6.34E-16
0.029,6.38E-16
0.03,6.41E-16
0.031,6.44E-16
0.032,6.47E-16
0.033,6.51E-16
0.034,6.54E-16
0.035,6.58E-16
0.036,6.62E-16
0.037,6.66E-16
0.038,6.69E-16